"coords.x1","coords.x2","c_add"
-147.590066,65.139187,0.000256530006599288
-147.616512,65.137781,3.910712859487e-05
-147.610662,65.138203,3.64605242430235e-05
-147.604766,65.138567,4.15568834376718e-05
-147.600441,65.13877,6.88053183631393e-05
-147.60046,65.137007,0.000226261172566041
-147.606621,65.156452,5.90814746460487e-05
-147.606545,65.156448,5.2025124282512e-05
-147.607418,65.157167,4.35711099830783e-05
-147.608345,65.158537,4.3041403724629e-05
-147.608189,65.159584,4.41360545678708e-05
-147.608818,65.160441,0.000135446816647979
-147.607322,65.160583,3.70182743139973e-05
-147.607037,65.161778,4.66951941267286e-05
-147.606721,65.162831,3.05235857421475e-05
-147.607048,65.16354,3.21049410966182e-05
-147.608196,65.164477,3.43679190798883e-05
-147.572815,65.146036,5.16916413176807e-05
-147.571366,65.146908,4.62558899408824e-05
-147.568427,65.148198,4.11196914396902e-05
-147.567994,65.149667,4.04925631756398e-05
-147.567247,65.149494,4.52738596853203e-05
-147.564245,65.148981,4.12098768546612e-05
-147.56214,65.148524,4.72400120303635e-05
-147.570923,65.149174,5.2164035758753e-05
-147.574113,65.149526,4.069061401366e-05
-147.577542,65.150461,4.0494277015581e-05
-147.502226,65.153043,3.83320046120969e-05
-147.503783,65.153158,3.94436690489172e-05
-147.508273,65.152577,4.5330197333652e-05
-147.510768,65.152578,4.5377016791472e-05
-147.512407,65.152562,4.58475646792627e-05
-147.514586,65.15232,4.26250918948075e-05
-147.517597,65.15211,3.71472350718047e-05
-147.518591,65.15124,4.29725870773772e-05
-147.542736,65.146445,5.34711256014218e-05
-147.574528,65.144808,4.07790756688813e-05
-147.575557,65.144239,6.50779002122577e-05
-147.57732,65.143675,3.06924613748965e-05
-147.578816,65.14333,3.78943044594476e-05
-147.58104,65.142822,2.9499023244666e-05
-147.582438,65.14243,3.01734738644109e-05
-147.584532,65.141858,3.65904551461755e-05
-147.586117,65.14163,3.62945099793773e-05
-147.587895,65.140858,3.66948129600273e-05
-147.589153,65.140374,4.100973134898e-05
-147.605555,65.162178,0.000334968992166149
-147.607663,65.160037,2.78748084691744e-05
-147.600158,65.168973,2.33218905032808e-05
-147.601189,65.168401,NA
-147.601579,65.168082,0.000112680415139101
-147.60293,65.166764,3.11650936531205e-05
-147.603678,65.166119,6.2667811667087e-05
-147.60469,65.165131,0.00015575236750946
-147.542633,65.148939,4.7305479364868e-05
-147.542594,65.148229,8.80349366912403e-05
-147.537644,65.149406,4.46418380173275e-05
-147.533662,65.149252,8.15400826872395e-05
-147.529534,65.149248,5.88803479999592e-05
-147.524955,65.149992,6.91283616955619e-05
-147.52092,65.150863,5.03654414688286e-05
